date,cash,value,SPY_qty,QQQ_qty,VEA_qty,EEM_qty,BIL_qty,GLD_qty,SPY,QQQ,VEA,EEM,BIL,GLD
2015-10-16,-141.43,10156.65,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2004.63,3594.6,788.75,-30.43,2596.07,1344.45
2015-10-19,-141.43,10169.64,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2005.62,3615.22,785.44,-30.12,2596.07,1338.83
2015-10-20,-141.43,10153.69,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2003.05,3596.6,782.76,-30.11,2595.5,1347.32
2015-10-21,-141.43,10107.75,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,1990.63,3574.66,782.14,-29.67,2596.07,1335.37
2015-10-22,-141.43,10222.41,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2024.26,3647.46,791.44,-30.29,2596.07,1334.89
2015-10-23,-141.43,10351.46,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2046.45,3749.53,798.68,-30.46,2596.07,1332.62
2015-10-26,-141.43,10344.73,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2041.42,3751.86,795.78,-30.19,2595.5,1331.78
2015-10-27,-141.43,10344.73,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2037.47,3759.51,788.75,-29.84,2595.5,1334.77
2015-10-28,-141.43,10393.09,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2060.65,3790.76,793.1,-29.5,2595.5,1324.01
2015-10-29,-141.43,10367.74,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2059.46,3784.77,787.31,-29.22,2595.5,1311.34
2015-10-30,-141.43,10336.22,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2050.59,3767.82,786.69,-29.27,2595.5,1306.32
2015-11-02,-141.43,10401.62,11.638455602617976,35.766716296247544,27.687618004983598,-1.0492394473822806,34.039372746250166,11.951736539855892,2074.85,3810.37,794.34,-29.85,2595.5,1297.84
2015-11-03,-146.33,10401.85,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2391.85,4134.84,1104.42,-30.25,1872.38,1074.94
2015-11-04,-146.33,10377.46,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2384.6,4135.2,1097.23,-30.0,1871.97,1064.79
2015-11-05,-146.33,10359.13,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2382.22,4124.05,1095.8,-30.05,1871.97,1061.47
2015-11-06,-146.33,10340.53,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2380.97,4126.93,1090.62,-29.63,1871.97,1046.0
2015-11-09,-146.33,10267.11,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2358.75,4083.07,1079.12,-28.89,1872.38,1049.01
2015-11-10,-146.33,10259.34,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2364.19,4072.64,1078.83,-28.77,1871.97,1046.8
2015-11-11,-146.33,10247.02,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2354.9,4067.61,1084.01,-28.83,1872.38,1043.29
2015-11-12,-146.33,10162.14,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2322.02,4028.06,1071.07,-28.55,1872.38,1043.49
2015-11-13,-146.33,10045.71,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2295.95,3948.97,1062.73,-28.16,1871.97,1040.57
2015-11-16,-146.33,10151.45,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2330.86,4005.77,1075.38,-28.7,1872.38,1042.08
2015-11-17,-146.33,10139.61,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2329.16,4008.29,1076.82,-28.62,1871.97,1028.31
2015-11-18,-146.33,10264.45,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2366.12,4085.23,1087.17,-28.93,1871.97,1029.22
2015-11-19,-146.33,10282.54,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2364.08,4088.1,1092.92,-29.19,1872.38,1040.57
2015-11-20,-146.33,10311.11,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2372.69,4115.78,1090.62,-29.48,1871.97,1035.85
2015-11-23,-146.33,10282.26,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2369.97,4103.92,1084.01,-29.2,1872.38,1027.51
2015-11-24,-146.33,10289.55,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2373.15,4100.33,1085.45,-29.36,1871.97,1034.34
2015-11-25,-146.33,10289.93,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2372.81,4103.92,1087.17,-29.13,1871.97,1029.52
2015-11-27,-146.33,10287.0,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2375.53,4109.67,1086.88,-28.49,1872.38,1017.36
2015-11-30,-146.33,10271.97,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2365.67,4099.25,1085.45,-28.53,1872.38,1024.09
2015-12-01,-146.33,10350.29,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2388.22,4140.23,1097.23,-28.75,1871.97,1027.71
2015-12-02,-146.33,10273.26,13.377824845873967,38.67739695294615,38.496075776551336,-1.0492394473822806,24.5503924822724,10.048021593503256,2363.85,4114.71,1085.73,-28.41,1871.97,1011.74
2015-12-03,-141.72,10176.56,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2330.75,3637.97,1698.62,-28.25,2493.53,185.66
2015-12-04,-141.72,10323.19,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2376.21,3723.01,1710.82,-28.44,2493.53,189.79
2015-12-07,-141.72,10275.98,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2361.81,3706.19,1696.81,-27.97,2493.53,187.32
2015-12-08,-141.72,10234.74,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2345.94,3706.52,1671.04,-27.66,2492.99,187.63
2015-12-09,-141.72,10155.93,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2327.69,3650.25,1667.43,-27.43,2492.44,187.27
2015-12-10,-141.72,10178.54,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2333.7,3666.74,1666.97,-27.25,2492.99,187.11
2015-12-11,-141.72,10021.42,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2288.47,3582.35,1637.14,-26.48,2493.53,188.13
2015-12-14,-141.72,10060.92,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2300.03,3609.51,1640.76,-26.91,2493.53,185.72
2015-12-15,-141.72,10111.93,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2324.18,3631.5,1647.09,-27.32,2492.99,185.23
2015-12-16,-141.72,10235.64,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2358.18,3685.5,1680.54,-27.86,2493.53,187.47
2015-12-17,-141.72,10122.3,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2322.25,3631.82,1661.1,-27.5,2492.99,183.37
2015-12-18,-141.72,9997.08,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2280.88,3562.16,1643.47,-27.41,2493.53,186.18
2015-12-21,-141.72,10067.24,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2299.69,3601.73,1653.98,-27.62,2492.99,188.2
2015-12-22,-141.72,10122.86,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2320.56,3625.4,1666.26,-27.84,2492.99,187.22
2015-12-23,-141.72,10204.86,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2349.3,3652.32,1693.54,-28.24,2492.99,186.67
2015-12-24,-141.72,10197.78,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2345.42,3651.67,1688.99,-28.13,2493.53,188.02
2015-12-28,-141.72,10183.7,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2340.06,3649.73,1683.99,-27.94,2492.99,186.59
2015-12-29,-141.72,10283.66,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2365.03,3707.13,1701.73,-27.96,2492.99,186.47
2015-12-30,-141.72,10222.59,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2348.27,3673.73,1691.27,-27.53,2493.53,185.04
2015-12-31,-141.72,10131.61,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2324.78,3628.0,1669.89,-27.44,2492.99,185.12
2016-01-04,-141.72,10001.46,13.377824845873967,34.78577275123209,60.515048858275705,-1.0492394473822806,32.69487694472561,1.824530555773432,2292.28,3551.45,1644.88,-26.69,2493.53,187.73
2016-01-05,-141.15,9997.83,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,2093.18,3545.29,1845.47,-26.75,2493.53,188.26
2016-01-06,-141.15,9905.8,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,2066.78,3511.24,1811.76,-26.24,2492.44,190.97
2016-01-07,-141.15,9716.1,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,2017.19,3401.29,1777.54,-25.43,2492.99,193.67
2016-01-08,-141.15,9643.51,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1995.05,3373.39,1755.57,-25.16,2492.99,192.82
2016-01-11,-141.15,9661.82,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1997.03,3383.77,1763.23,-25.15,2492.99,191.1
2016-01-12,-141.15,9723.86,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,2013.14,3423.02,1770.38,-25.2,2493.53,190.13
2016-01-13,-141.15,9529.68,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1962.93,3304.96,1743.82,-24.94,2492.99,191.06
2016-01-14,-141.15,9648.74,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1995.16,3375.34,1764.25,-25.26,2492.44,187.96
2016-01-15,-141.15,9442.79,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1952.33,3270.58,1702.96,-24.26,2492.44,189.9
2016-01-19,-141.15,9467.34,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1954.93,3277.71,1717.77,-24.62,2492.99,189.71
2016-01-20,-141.15,9395.98,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1929.87,3267.66,1678.44,-24.08,2492.99,192.25
2016-01-21,-141.15,9423.47,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1940.68,3270.9,1691.21,-24.18,2493.53,192.47
2016-01-22,-141.15,9604.22,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1980.5,3365.61,1740.25,-25.01,2492.44,191.58
2016-01-25,-141.15,9502.25,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1950.56,3315.66,1715.22,-24.58,2492.99,193.55
2016-01-26,-141.15,9591.16,12.19525718790608,34.78577275123209,67.96987127662854,-1.0492394473822806,32.69487694472561,1.824530555773432,1977.17,3345.5,1746.38,-24.94,2492.44,195.75
