,spread,beta,z_score,short,long,exit,close_1,close_2
2009-11-05,0.17835772952994944,0.5917642643447927,-0.21309666571442554,False,False,False,41.960296630859375,20.505489349365234
2009-11-06,0.47989519292678295,0.5921741255965979,0.12568146263093313,False,False,False,40.70649337768555,20.06943702697754
2009-11-09,0.3109668409404627,0.5924563291694964,-0.06107765543086263,False,False,False,42.74995040893555,21.112648010253906
2009-11-10,0.2813317883913449,0.5929695515563638,-0.0913068495340494,False,False,False,42.87051010131836,21.156810760498047
2009-11-11,0.26685523844005843,0.5932425769094938,-0.10878454825551573,False,False,False,43.67824935913086,21.6259765625
2009-11-12,-0.036168747901331955,0.5934498719572362,-0.44760666597534554,False,False,False,43.5938606262207,21.27272605895996
2009-11-13,-0.02412639934393468,0.5934105522766158,-0.4327991753471857,False,False,False,44.29912185668945,21.703258514404297
2009-11-16,-0.03995214777179257,0.5933323223071503,-0.45082928028880365,False,False,False,45.052608489990234,22.1337833404541
2009-11-17,0.22074562495724592,0.5939977716705042,-0.1571630617351829,False,False,False,43.90729904174805,21.71980857849121
2009-11-18,0.13680520584531308,0.5941981532368966,-0.2532888974866647,False,False,False,44.42570495605469,21.94611930847168
2009-11-19,-0.22190318269159448,0.5946478913019336,-0.6560815707577451,False,False,False,43.56973648071289,21.07953643798828
2009-11-20,-0.009040265590890328,0.5949167250943654,-0.4200190532891635,False,False,False,43.394920349121094,21.189929962158203
2009-11-23,0.03395334144428119,0.5935915250932735,-0.38347753800450424,False,False,False,43.73249435424805,21.427268981933594
2009-11-24,0.19195096063749517,0.5926601069336864,-0.21809273174486954,False,False,False,42.91271209716797,21.101608276367188
2009-11-25,0.3758483560857542,0.5924860302749333,-0.016111525912603022,False,False,False,42.864471435546875,21.26719856262207
2009-11-27,0.3975735371322564,0.5925562380869598,0.001258181486904453,False,False,False,41.6649284362793,20.588285446166992
2009-11-30,0.078071491133894,0.592283338729391,-0.38761978019377713,False,False,False,43.54562759399414,21.38863754272461
2009-12-01,-0.14988657898739177,0.591646929956344,-0.6627609817533963,False,False,False,44.329280853271484,21.620452880859375
2009-12-02,-0.1553078849287175,0.590976199172549,-0.6733001631258585,False,False,False,45.07069396972656,22.050989151000977
2009-12-03,-0.042973585766098665,0.5906184546508342,-0.5432479730028201,False,False,False,44.70903015136719,21.951641082763672
2009-12-04,-0.22715303051749913,0.5898835218698621,-0.7745045403777944,False,False,False,46.378746032714844,22.75197982788086
2009-12-07,-0.3543321659555829,0.5898005090327655,-0.9356653303958187,False,False,False,45.583072662353516,22.16138458251953
2009-12-08,-0.8499710392073041,0.5890037495467242,-1.526895226585863,False,False,False,45.595123291015625,21.66461181640625
2009-12-09,-1.3922185427627767,0.587359853361898,-2.155449563157604,False,True,False,45.595123291015625,21.101608276367188
2009-12-10,-1.9049003710079795,0.5853206018535211,-2.723086737588076,False,False,False,45.757896423339844,20.660045623779297
2009-12-11,-1.95482689591352,0.582603522825548,-2.7384125998630715,False,False,False,46.2581901550293,20.869787216186523
2009-12-14,-1.517505476383164,0.5806210520894504,-2.202401609707295,False,False,False,47.13224792480469,21.791566848754883
2009-12-15,-1.532283716391035,0.5784958282375374,-2.2001905679771645,False,False,False,47.09607696533203,21.730850219726562
2009-12-16,-1.7132012518246071,0.576726737698456,-2.389042217214643,False,False,False,47.82545852661133,21.951641082763672
2009-12-17,-1.4896308482213136,0.575092795577095,-2.1077373116055824,False,False,False,47.62051773071289,22.035383224487305
2009-12-18,-1.5367707215900452,0.5731784899010571,-2.1322105394017257,False,False,False,48.11479568481445,22.241933822631836
2009-12-21,-1.6241069156768475,0.5710065949561235,-2.199910609023268,False,False,False,49.21791458129883,22.749984741210938
2009-12-22,-1.69825920319445,0.5687570338839523,-2.2518929962843206,False,False,False,49.977413177490234,23.068201065063477
2009-12-23,-1.944790179349745,0.5659822182191978,-2.483980194569164,False,False,False,51.35783004760742,23.553905487060547
2009-12-24,-1.9225010861551866,0.5632418270602735,-2.423176457728712,False,False,False,52.1956901550293,23.994953155517578
2009-12-28,-1.1635186206255526,0.561853038876031,-1.587124640451212,False,False,False,51.924442291259766,24.56998062133789
2009-12-29,-1.1252610248981405,0.5605054712994624,-1.5310658703433464,False,False,False,51.26842498779297,24.212671279907227
2009-12-30,-1.0304967397346587,0.5592183307262585,-1.4159611782866375,False,False,False,51.07350158691406,24.173601150512695
2009-12-31,-0.9372733322912197,0.5581298660850567,-1.3044196642267931,False,False,False,50.01366424560547,23.65439796447754
